kingdom,phylum,class,order,family,genus,species,scientificName,verbatimScientificName,decimalLatitude,decimalLongitude,eventDate,day,month,year,institutionCode
Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Dianthidium,Dianthidium texanum,"Dianthidium texanum (Cresson, 1878)",Dianthidium texanum,30.286326,-97.781675,6/3/1993 0:00,3,6,1993,UTIC
Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Dianthidium,Dianthidium texanum,"Dianthidium texanum (Cresson, 1878)",Dianthidium texanum,30.286326,-97.781675,5/15/1993 0:00,15,5,1993,UTIC
Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pachycondyla,Pachycondyla harpax,"Pachycondyla harpax (Fabricius, 1804)",Pachycondyla harpax,30.286326,-97.781675,2/18/1996 0:00,18,2,1996,UTIC
Animalia,Arthropoda,Insecta,Diptera,Asilidae,Hadrokolos,Hadrokolos texanus,"Hadrokolos texanus (Bromley, 1934)",Hadrokolos texanus,30.286326,-97.781675,7/29/1990 0:00,29,7,1990,UTIC
Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Anthidiellum,Anthidiellum notatum,"Anthidiellum gilense (Cockerell, 1897)",Anthidiellum gilense,30.284,-97.78,9/24/1995 0:00,24,9,1995,UTIC
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus pensylvanicus,"Bombus pensylvanicus (De Geer, 1773)",Bombus pensylvanicus,30.286326,-97.781675,6/3/1976 0:00,3,6,1976,UTIC
Animalia,Arthropoda,Insecta,Diptera,Asilidae,Taracticus,Taracticus dimidiatus,"Taracticus dimidiatus (Macquart, 1847)",Taracticus dimidiatus,30.286326,-97.781675,3/16/1986 0:00,16,3,1986,UTIC
Animalia,Arthropoda,Insecta,Diptera,Asilidae,Hadrokolos,Hadrokolos texanus,"Hadrokolos texanus (Bromley, 1934)",Hadrokolos texanus,30.286326,-97.781675,7/29/1990 0:00,29,7,1990,UTIC
Animalia,Arthropoda,Insecta,Diptera,Asilidae,Taracticus,Taracticus dimidiatus,"Taracticus dimidiatus (Macquart, 1847)",Taracticus dimidiatus,30.286326,-97.781675,3/27/1989 0:00,27,3,1989,UTIC
Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pachycondyla,Pachycondyla harpax,"Pachycondyla harpax (Fabricius, 1804)",Pachycondyla harpax,30.286326,-97.781675,1/16/1990 0:00,16,1,1990,UTIC
Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Itoplectis,Itoplectis conquisitor,"Itoplectis conquisitor (Say, 1835)",Itoplectis conquisitor,30.283786,-97.77869,10/23/2019 0:00,23,10,2019,UTIC
Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Nemotarsus,Nemotarsus elegans,"Nemotarsus elegans LeConte, 1853",Nemotarsus elegans,30.286326,-97.781675,6/5/1990 0:00,5,6,1990,UTIC
Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Galerita,Galerita bicolor,"Galerita bicolor (Drury, 1773)",Galerita bicolor,30.286326,-97.781675,7/23/1977 0:00,23,7,1977,UTIC
Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Eucosma,Eucosma dorsisignatana,"Eucosma dorsisignatana Clemens, 1860",Eucosma dorsisignatana,30.286326,-97.781675,10/31/1992 0:00,31,10,1992,UTIC
Animalia,Arthropoda,Insecta,Lepidoptera,Thyrididae,Meskea,Meskea dyspteraria,"Meskea dyspteraria Grote, 1877",Meskea dyspteraria,30.286326,-97.781675,5/13/1998 0:00,13,5,1998,UTIC
Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Eucosma,Eucosma consobrinana,"Eucosma consobrinana Heinrich, 1923",Eucosma consobrinana,30.286326,-97.781675,4/15/1998 0:00,15,4,1998,UTIC
Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Eucosma,Eucosma matutina,"Eucosma matutina Grote, 1893",Eucosma matutina,30.286326,-97.781675,5/12/1977 0:00,12,5,1977,UTIC
Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Erythroneura,Erythroneura calycula,"Erythroneura calycula McAtee, 1920",Erythroneura calycula,30.2848,-97.7782,11/2/2021 0:00,2,11,2021,UTIC
Animalia,Arthropoda,Insecta,Lepidoptera,Thyrididae,Meskea,Meskea dyspteraria,"Meskea dyspteraria Grote, 1877",Meskea dyspteraria,30.286326,-97.781675,5/6/1997 0:00,6,5,1997,UTIC
Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Balclutha,Balclutha neglecta,"Balclutha neglecta (DeLong & Davidson, 1933)",Balclutha neglecta,30.2848,-97.7782,11/2/2021 0:00,2,11,2021,UTIC
Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,,,Andrenidae,Andrenidae,30.2848,-97.7782,11/2/2021 0:00,2,11,2021,UTIC
Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Eucosma,Eucosma matutina,"Eucosma matutina Grote, 1893",Eucosma matutina,30.286326,-97.781675,5/12/1977 0:00,12,5,1977,UTIC
Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Eucosma,Eucosma consobrinana,"Eucosma consobrinana Heinrich, 1923",Eucosma consobrinana,30.286326,-97.781675,4/17/1998 0:00,17,4,1998,UTIC
